VarId	MaxBet	BaseHitRate	FeatureHitRate	FeatureRtp	TopPrize	MaxAwardInFeature
1	500cr	41.51	63.86	0.62261352	125cr	True
2	500cr	41.51	63.86	0.62555911	125cr	True
3	200cr	41.51	63.86	0.62758419	125cr	True
4	100cr	41.51	63.86	0.63006953	125cr	True
5	20cr	17.63	63.86	0.63276107	100cr	True
6	10cr	17.65	63.86	0.63497026	100cr	True
7	5cr	17.65	63.86	0.63929658	100cr	True
8	500cr	41.5	63.86	0.62261352	125cr	True
9	500cr	41.5	63.86	0.62555911	125cr	True
10	200cr	41.5	63.86	0.62758419	125cr	True
11	100cr	41.5	63.86	0.63006953	125cr	True
12	20cr	17.68	63.86	0.63276107	100cr	True
13	10cr	17.62	63.86	0.63497026	100cr	True
14	5cr	17.62	63.86	0.63929658	100cr	True
15	500cr	41.68	63.86	0.6189315400000001	125cr	True
16	500cr	41.68	63.86	0.62187713	125cr	True
17	200cr	41.68	63.86	0.6239022200000001	125cr	True
18	100cr	41.68	63.86	0.62638755	125cr	True
19	20cr	18.09	63.86	0.63276107	100cr	True
20	10cr	18.09	63.86	0.63110418	100cr	True
21	5cr	18.09	63.86	0.6356145999999999	100cr	True
2	250cr	41.51	63.86	0.62555911	125cr	True
3	100cr	41.51	63.86	0.62758419	125cr	True
4	50cr	41.51	63.86	0.63006953	125cr	True
22	10cr	17.65	63.86	0.62788245	100cr	True
23	5cr	17.63	63.86	0.63230082	100cr	True
9	250cr	41.5	63.86	0.62555911	125cr	True
10	100cr	41.5	63.86	0.62758419	125cr	True
11	50cr	41.5	63.86	0.63006953	125cr	True
24	10cr	17.68	63.86	0.62788245	100cr	True
25	5cr	17.62	63.86	0.63230082	100cr	True
16	250cr	41.68	63.86	0.62187713	125cr	True
17	100cr	41.68	63.86	0.6239022200000001	125cr	True
18	50cr	41.68	63.86	0.62638755	125cr	True
26	10cr	18.09	63.86	0.62438457	100cr	True
27	5cr	18.4	63.86	0.6286188500000001	100cr	True
28	500cr	41.5	63.86	0.62261352	125cr	True
29	500cr	41.5	63.86	0.62555911	125cr	True
30	250cr	41.5	63.86	0.62758419	125cr	True
31	250cr	41.5	63.86	0.63006953	125cr	True
32	50cr	17.61	63.86	0.63276107	100cr	True
33	50cr	17.64	63.86	0.63285312	100cr	True
34	50cr	17.61	63.86	0.6398488800000001	100cr	True
35	500cr	41.46	63.86	0.62261352	125cr	True
36	500cr	41.46	63.86	0.62555911	125cr	True
37	250cr	41.46	63.86	0.62758419	125cr	True
38	250cr	41.46	63.86	0.63006953	125cr	True
39	50cr	17.68	63.86	0.63276107	100cr	True
40	50cr	17.71	63.86	0.63285312	100cr	True
41	50cr	17.68	63.86	0.6398488800000001	100cr	True
42	500cr	41.58	63.86	0.6189315400000001	125cr	True
43	500cr	41.58	63.86	0.62187713	125cr	True
44	250cr	41.58	63.86	0.6239022200000001	125cr	True
45	250cr	41.58	63.86	0.62638755	125cr	True
46	50cr	18.09	63.86	0.62889499	100cr	True
47	50cr	18.12	63.86	0.62935524	100cr	True
48	50cr	18.09	63.86	0.63625895	100cr	True
